date,category,brand,option,r,g,b,L,a,b,hex,case_type,timestamp
251124,lipstick,클리오,01꿀복숭아,254,217,217,26.9171,12.8295,4.7776,#FED9D9,A_normal,2025-11-27 17:07:29
251124,lipstick,클리오,03꿀앵두,246,48,89,16.3454,73.5791,26.6406,#F63059,A_normal,2025-11-27 17:07:29
251124,lipstick,클리오,04꿀사과,213,63,72,14.9117,58.6898,29.3907,#D53F48,A_normal,2025-11-27 17:07:29
251124,lipstick,클리오,06꿀무화과,217,95,81,16.6856,46.9142,31.6949,#D95F51,A_normal,2025-11-27 17:07:29
251124,lipstick,클리오,앨리스07뮤즈로즈,190,72,84,14.1805,48.31,18.2736,#BE4854,A_normal,2025-11-27 17:07:29
251124,lipstick,클리오,앨리스08루시드모브,194,79,122,15.0182,50.1453,-0.6721,#C24F7A,A_normal,2025-11-27 17:07:29
251124,lipstick,클리오,앨리스09헤일로핑크,236,96,151,18.0846,59.0479,-2.034,#EC6097,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,001토슈즈,246,138,138,20.7571,40.9093,18.2579,#F68A8A,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,002모란,241,121,106,19.3501,44.7738,29.6924,#F1796A,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,003스트로베리,252,83,83,17.8338,63.9324,36.5584,#FC5353,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,004플럼시럽,195,71,80,14.3605,50.1472,21.6345,#C34750,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,006로지스텝,243,118,124,19.3623,48.4561,19.6758,#F3767C,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,007플랫헤이즐,242,131,122,20.0746,41.4689,23.9928,#F2837A,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,008피치포인,252,176,176,23.6924,27.7447,11.2063,#FCB0B0,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,010모브위스퍼,250,149,163,21.762,39.4764,9.1381,#FA95A3,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,new012히더잼,220,135,157,19.7202,35.2654,2.2286,#DC879D,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,new013보늬밤라떼,230,141,127,20.2748,32.2669,21.8503,#E68D7F,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,new014로즈우드,200,94,86,15.8717,41.5383,24.8334,#C85E56,A_normal,2025-11-27 17:07:29
251124,lipstick,팁토우,new015블러디베리,196,67,85,14.2521,52.551,18.1651,#C44355,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,01누디베이지,200,166,135,21.1163,7.9608,20.7337,#C8A687,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,02핑크무스,194,126,123,17.9187,26.0128,12.5871,#C27E7B,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,03로즈코튼,213,159,154,21.111,19.3424,10.4579,#D59F9A,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,04코지핑크,208,149,152,20.2222,22.6115,7.2763,#D09598,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,단품05뉴트럴그레이,166,150,131,18.8931,2.7491,12.1837,#A69683,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,단품06뮤트피치,194,127,104,17.8714,23.3159,23.181,#C27F68,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬01피치베이지,215,144,126,19.9337,24.7565,20.5624,#D7907E,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬03오트베이지,186,151,130,19.5329,9.9484,16.0039,#BA9782,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬04스트로베리밀크,239,163,193,22.5227,32.308,-3.8861,#EFA3C1,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬05애프리콧코랄,248,161,152,22.3939,31.2392,18.12,#F8A198,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬06로즈베이지,205,139,132,19.2757,24.2771,13.9953,#CD8B84,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬07드라이로즈,196,126,120,17.971,26.4293,14.5827,#C47E78,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬08클라우디모브,175,125,136,17.2852,21.0492,1.7929,#AF7D88,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬09코지브라운,170,130,111,17.314,12.6892,16.2337,#AA826F,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬10클린베이지,233,202,173,24.9669,6.5693,18.5178,#E9CAAD,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬12카라멜베이지,203,147,124,19.7297,18.1575,20.5243,#CB937C,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬13베어립스,197,127,120,18.0766,26.2725,15.09,#C57F78,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬14캄핑크,222,158,173,21.4671,25.9407,1.7688,#DE9EAD,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬15모브립스,182,111,116,16.3902,28.7461,9.2523,#B66F74,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬16브릭로즈,171,97,93,14.8487,29.4767,15.4273,#AB615D,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬17토프베이지,178,152,134,19.4037,6.8037,13.0543,#B29886,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬18피그로즈,177,92,89,14.7483,34.1203,17.4847,#B15C59,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬19더스티핑크,188,117,121,17.063,28.385,9.6192,#BC7579,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬21로지립스,234,170,181,22.7434,25.0361,3.6975,#EAAAB5,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬22살몬피치,230,159,139,21.5652,23.9886,21.1002,#E69F8B,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬단품02크리미핑크,211,131,144,19.0271,32.3979,6.1253,#D38390,A_normal,2025-11-27 17:07:29
251124,lipstick,하트퍼센트,일반립펜슬단품20살몬베이지,200,143,120,19.3168,18.6862,20.8213,#C88F78,A_normal,2025-11-27 17:07:29
251124,lipstick,힌스,01데자뷰,137,47,52,9.9412,38.7116,17.7632,#892F34,A_normal,2025-11-27 17:07:29
251124,lipstick,힌스,02뉴실루엣,187,106,89,16.079,30.524,23.6505,#BB6A59,A_normal,2025-11-27 17:07:29
251124,lipstick,힌스,03페이드아웃,168,92,94,14.398,31.1473,12.6948,#A85C5E,A_normal,2025-11-27 17:07:29
